,Hs,Tp,Dir,P,PPer,Px,Py,Ppar,Hsp,ponto,time
3242,1.259765625,8.062992095947266,67.1220703125,6.287771255769263,6.264997733234914,-5.793145161141582,-2.444491052718347,-1.9359907692901115,1.1214072637333203,26,2023-01-31 00:00:00
3243,1.28515625,8.0,66.0556640625,6.49256295355939,6.4576522972895365,-5.933814152564879,-2.6349996790801655,-1.9955243036268868,1.1395229662941762,26,2023-01-31 01:00:00
3244,1.314453125,8.0,64.41015625,6.791950476235209,6.73244598380579,-6.125721966784504,-2.933619207955503,-2.080440222707351,1.1654999336109126,26,2023-01-31 02:00:00
3245,1.3486328125,5.019608020782471,62.5263671875,4.485775216418983,4.424595751570609,-3.9798839913510653,-2.0694691849907514,-1.3672752804745112,0.9471826873860166,26,2023-01-31 03:00:00
3246,1.3759765625,5.171717166900635,61.1171875,4.811019283191821,4.724494992472888,-4.212574005819127,-2.323817288157684,-1.4599492425134615,0.9809199032736384,26,2023-01-31 04:00:00
3247,1.3896484375,5.278350353240967,60.443359375,5.008277206879115,4.906745092155125,-4.356542470571936,-2.4705016257934025,-1.516267620541801,1.0008273784103945,26,2023-01-31 05:00:00
3248,1.390625,5.3612565994262695,60.173828125,5.094093568976766,4.985965706370227,-4.419321541807886,-2.5336508045907236,-1.5407481366390892,1.0093655005969608,26,2023-01-31 06:00:00
3249,1.38671875,5.417989253997803,59.8359375,5.119118389144324,5.004185226836576,-4.425939284583114,-2.5722430933446963,-1.546378278092553,1.0118417256808818,26,2023-01-31 07:00:00
3250,1.376953125,5.417989253997803,59.1962890625,5.047272004293706,4.921771600997953,-4.335236843605383,-2.584700407237451,-1.5209110671403603,1.0047160797253825,26,2023-01-31 08:00:00
3251,1.365234375,5.389473915100098,58.3671875,4.935612580624427,4.7965575131063725,-4.202312406095142,-2.588598460093216,-1.4822177860467036,0.9935403948128557,26,2023-01-31 09:00:00
3252,1.3466796875,5.3612565994262695,57.7080078125,4.777222527834704,4.629368652370987,-4.038360607182362,-2.5521556940768924,-1.4305535868092831,0.9774684166595567,26,2023-01-31 10:00:00
3253,1.3212890625,5.333333492279053,57.369140625,4.57482704125314,4.42648034238615,-3.852745921315553,-2.466858594076146,-1.3678576510639562,0.9565382419175034,26,2023-01-31 11:00:00
3254,1.2900390625,5.305699348449707,57.3134765625,4.338390269625482,4.19664383403296,-3.651353367020728,-2.3429145781968788,-1.2968342640550208,0.9314923799608328,26,2023-01-31 12:00:00
3255,1.2548828125,5.251282215118408,57.6298828125,4.063048061427148,3.93592639782666,-3.431679943133412,-2.1753005119667406,-1.216268145537408,0.9014486187717132,26,2023-01-31 13:00:00
3256,1.21875,5.197969436645508,58.2939453125,3.7935275087459996,3.6855033490031115,-3.2273646802456186,-1.9937322238243849,-1.1388831676677442,0.8710370266235529,26,2023-01-31 14:00:00
3257,1.1845703125,5.475935935974121,59.2724609375,3.775376826768338,3.682611147153563,-3.245339521883167,-1.9290519878433818,-1.1379894281450713,0.8689507266546634,26,2023-01-31 15:00:00
3258,1.154296875,7.757575988769531,60.462890625,5.078760143659569,4.976145685864007,-4.418707106716557,-2.5037635874574007,-1.5377135834175566,1.0078452404669647,26,2023-01-31 16:00:00
3259,1.12890625,7.757575988769531,61.8837890625,4.85778643508912,4.782264971555359,-4.284536377474668,-2.289287460986959,-1.4778011478146305,0.9856760558204831,26,2023-01-31 17:00:00
3260,1.1083984375,7.757575988769531,63.5439453125,4.682895566940263,4.631987532205987,-4.192485546507766,-2.0862827788179272,-1.431362865184524,0.9677701759137096,26,2023-01-31 18:00:00
3261,1.0966796875,7.816793918609619,65.0263671875,4.6194282599674095,4.5852543307279054,-4.187521776694914,-1.9503278746640007,-1.4169215117262484,0.9611897065582226,26,2023-01-31 19:00:00
3262,1.09765625,7.816793918609619,66.076171875,4.627658865480522,4.602947082994501,-4.230075341268349,-1.8766164185719836,-1.4223888728538923,0.9620456190306697,26,2023-01-31 20:00:00
3263,1.11328125,7.876923084259033,66.7109375,4.79700688698787,4.776582733897979,-4.406155747846856,-1.896593419667267,-1.4760452398124226,0.9794903661586336,26,2023-01-31 21:00:00
3264,1.1474609375,7.937984466552734,66.59765625,5.13564211791228,5.112830181914285,-4.7131758730498,-2.0398022337902724,-1.579951415564668,1.0134734449320595,26,2023-01-31 22:00:00
3265,1.197265625,7.111111164093018,65.7294921875,5.008414906014513,4.978451101983103,-4.565746039598876,-2.0586847676794875,-1.5384259961774631,1.0008411368458545,26,2023-01-31 23:00:00
3266,1.2626953125,4.807511806488037,64.52734375,3.7661512256899616,3.7341654561882294,-3.4000460678949134,-1.619747446658996,-1.153920585770041,0.8678883828799602,26,2023-02-01 00:00:00
3267,1.2666015625,12.190476417541504,142.4013671875,9.96661410120296,9.003092254941622,-6.080892968219324,7.89659023575103,4.08731835202219,1.4118508491482349,27,2023-01-27 00:00:00
3268,1.2509765625,12.190476417541504,141.890625,9.722231329236806,8.819161396937695,-6.000217289630889,7.64978264373624,4.003815489879464,1.3944340306545022,27,2023-01-27 01:00:00
3269,1.2373046875,12.190476417541504,141.47265625,9.510884785366148,8.656418096890034,-5.924216539075213,7.440469595304923,3.929931577761563,1.3791943144724856,27,2023-01-27 02:00:00
3270,1.2265625,12.047059059143066,141.1005859375,9.205916469117803,8.403436743191486,-5.780902186672711,7.164500536987702,3.815080446571172,1.356902094413433,27,2023-01-27 03:00:00
3271,1.2177734375,12.047059059143066,140.8046875,9.074457231230479,8.302462753463544,-5.7347475361554485,7.032669815794721,3.7692392145138878,1.3471790698515531,27,2023-01-27 04:00:00
3272,1.2109375,11.906976699829102,140.6572265625,8.841162523647274,8.098172507330194,-5.6049292181939165,6.837464678415617,3.676493383579893,1.3297490382509982,27,2023-01-27 05:00:00
3273,1.205078125,11.906976699829102,140.71875,8.755809885444219,8.016215443355573,-5.543544899708302,6.777412241774936,3.639285655148869,1.3233147687110742,27,2023-01-27 06:00:00
3274,1.2021484375,11.906976699829102,140.869140625,8.71328881568461,7.968058919474252,-5.4989016146402285,6.758955763876666,3.6174230508062686,1.320097633941112,27,2023-01-27 07:00:00
3275,1.197265625,11.77011489868164,140.90234375,8.518824377710233,7.788227694112764,-5.372346007571605,6.611222818299166,3.5357813829356313,1.3052834464368446,27,2023-01-27 08:00:00
